,active,confirmed,country_region,deaths,last_update,lat,long,recovered,country,iso3,inform_risk,inform_p2p_hazard_and_exposure_dimension,population_density,population_living_in_urban_areas,proportion_of_population_with_basic_handwashing_facilities_on_premises,people_using_at_least_basic_sanitation_services,inform_vulnerability,inform_health_conditions,inform_epidemic_vulnerability,mortality_rate_under_5,prevalence_of_undernourishment,inform_lack_of_coping_capacity,inform_access_to_healthcare,inform_epidemic_lack_of_coping_capacity,physicians_density,current_health_expenditure_per_capita,maternal_mortality_ratio
16,327.0,349.0,Afghanistan,7.0,4/5/2020 18:24,33.93911,67.709953,15.0,Afghanistan,AFG,8.0,6.2,56.94,25.495,37.75,43.417609999999996,8.2,2.1,4.5,67.90000153,29.8,7.2,7.6,6.7,2.84,162.78,396
17,237.0,361.0,Albania,20.0,4/5/2020 18:24,41.1533,20.1683,104.0,Albania,ALB,3.0,3.6,104.61,60.319,No data,97.71837,1.6,0.2,3.7,8.800000191,6.2,4.2,3.7,4.9,12,759.67,29
18,1078.0,1320.0,Algeria,152.0,4/5/2020 18:24,28.0339,1.6596,90.0,Algeria,DZA,4.0,4.3,17.73,72.629,83.74,87.58657,2.9,0.4,5.9,24,3.9,4.4,3.8,3.6,18.3,998.15,140
19,6.0,10.0,Angola,2.0,4/5/2020 18:24,-11.2027,17.8739,2.0,Angola,AGO,5.2,6.7,24.71,65.514,26.66,49.876979999999996,5.0,5,5.8,81.09999847,25.0,7.1,8.1,5.4,2.15,185.82,477
20,15.0,15.0,Antigua and Barbuda,0.0,4/5/2020 18:24,17.0608,-61.7964,0.0,Antigua and Barbuda,ATG,2.3,2.8,218.83,24.599,No data,87.50428000000001,1.7,0,3.5,7.400000095,18.1,3.8,4.3,3.2,27.65,976.39,No data
21,1127.0,1451.0,Argentina,44.0,4/5/2020 18:24,-38.4161,-63.6167,280.0,Argentina,ARG,2.7,3.3,16.26,91.87,No data,94.25851,1.9,0.3,5.6,10.39999962,4.6,3.5,2.1,3.3,39.6,1531.04,52
22,758.0,822.0,Armenia,7.0,4/5/2020 18:24,40.0691,45.0382,57.0,Armenia,ARM,3.6,3.3,103.68,63.149,94.04,93.64231,2.6,0.3,4.1,12.60000038,4.3,4.8,2.7,2.9,28.99,876.86,25
23,545.0,584.0,Azerbaijan,7.0,4/5/2020 18:24,40.1431,47.5769,32.0,Azerbaijan,AZE,4.6,4.1,120.27,55.68,83.24,92.51145,4.1,0.8,6.2,23,2.4,4.7,2.1,3.2,34.47,1193.06,25
24,24.0,28.0,Bahamas,4.0,4/5/2020 18:24,25.025885,-78.035889,0.0,Bahamas,BHS,2.2,3.4,38.53,83.025,No data,94.93058,1.8,1.6,4.7,7.199999809,18.1,3.2,3.3,2.7,19.37,1435.57,80
25,267.0,698.0,Bahrain,4.0,4/5/2020 18:24,26.0275,50.55,427.0,Bahrain,BHR,1.3,6.4,2017.27,89.287,No data,100.0,1.1,0.1,4.4,7.300000191,7.1,3.2,3,1.9,9.26,1866.3,15
26,46.0,88.0,Bangladesh,9.0,4/5/2020 18:24,23.685,90.3563,33.0,Bangladesh,BGD,6.0,5.8,1239.58,36.632,34.81,48.23324,5.7,2,7.8,32.40000153,14.7,5.1,5.2,3.9,5.27,90.6,176
27,49.0,56.0,Barbados,1.0,4/5/2020 18:24,13.1939,-59.5432,6.0,Barbados,BRB,1.9,3.0,666.61,31.147,88.47,97.27938,1.4,1.1,5.7,12.39999962,3.9,2.5,3,1.7,24.89,1322.99,27
28,502.0,562.0,Belarus,8.0,4/5/2020 18:24,53.7098,27.9534,52.0,Belarus,BLR,1.9,2.7,46.73,78.595,No data,97.79096,1.2,0.6,5.5,3.700000048,2.4,2.9,1.6,2.1,40.77,1151.41,4
29,14493.0,19691.0,Belgium,1447.0,4/5/2020 18:24,50.8333,4.469936,3751.0,Belgium,BEL,1.9,3.4,377.21,98.001,No data,99.48606,1.9,0.1,5.8,3.799999952,2.4,1.8,0.7,1.7,33.23,4667.88,7
30,5.0,5.0,Belize,0.0,4/5/2020 18:24,17.1899,-88.4976,0.0,Belize,BLZ,3.7,3.2,16.79,45.724,90.08,87.85852,3.1,1.3,5.5,14.19999981,7.5,5.2,4.4,4.9,11.26,541.43,28
31,17.0,22.0,Benin,0.0,4/5/2020 18:24,9.3077,2.3158,5.0,Benin,BEN,4.4,7.1,101.85,47.312,11.03,16.452920000000002,5.1,4.5,5.9,98.30000305,10.1,6.8,6.9,6.9,1.57,83.48,405
32,3.0,5.0,Bhutan,0.0,4/5/2020 18:24,27.5142,90.4336,2.0,Bhutan,BTN,3.1,3.9,19.78,40.895,79.81,69.25394,3.4,1.5,6.2,30.79999924,14.9,4.4,5,3.7,3.71,293.11,148
33,145.0,157.0,Bolivia,10.0,4/5/2020 18:24,-16.2902,-63.5887,2.0,Bolivia,BOL,4.3,4.5,10.48,69.425,25.38,60.71694,3.5,1.1,5.2,34.90000153,17.1,5.3,4.9,4.0,16.11,496.31,206
34,601.0,654.0,Bosnia and Herzegovina,23.0,4/5/2020 18:24,43.9159,17.6791,30.0,Bosnia and Herzegovina,BIH,3.6,2.6,64.92,48.245,97.16,95.36024,3.7,0.3,2.8,5.699999809,2.4,4.5,3.8,4.4,20,1123.43,11
35,5.0,6.0,Botswana,1.0,4/5/2020 18:24,-22.3285,24.6849,0.0,Botswana,BWA,3.2,3.9,3.98,69.446,No data,77.26921999999999,3.4,4.2,5.1,37.59999847,26.4,4.6,4.9,5.2,3.69,931.3,129
